nume,este_nod
Pantelimon,false
Republica,false
Costin Georgian,false
Titan,false
Nicolae Grigorescu 1,true
Dristor 1,true
Mihai Bravu,false
Timpuri Noi,false
Piata Unirii 1,true
Izvor,false
Eroilor,true
Grozaversti,false
Petrache Poenaru,false
Crangasi,false
Basarab,true
Gara de Nord 1,true
Piata Victoriei 1,true
Stefan cel Mare,false
Obor,false
Iancului,false
Piata Muncii,false
Dristor 2,true
Pipera,false
Aurel Vlaicu,false
Aviatorilor,false
Piata Victoriei 2,true
Piata Romana,false
Universitate,false
Piata Unirii 2,true
Tineretului,false
Eroii Revolutiei,false
Constantin Brancoveanu,false
Piata Sudului,false
Aparatorii Patriei,false
Dimitrie Leonida,false
Berceni,false
Tudor Arghezi,false
Anghel Saligny,false
Nicolae Teclu,false
1 Decembrie 1918,false
Nicolae Grigorescu 2,true
Politehnica,false
Lujerului,false
Gorjului,false
Pacii,false
Preciziei,false
Gara de Nord 2,true
Basarab 2,true
Grivita,false
1 Mai,false
Jiului,false
Parc Bazilescu,false
Laminorului,false
Straulesti,false
Raul Doamnei,false
Constantin Brancusi,false
Valea Ialomitei,false
Romancierilor,false
Parc Drumul Taberei,false
Tudor Vladimirescu,false
Favorit,false
Orizont,false
Academia Militara,false
Eroilor 2,true
