nume_statie,magistrala
Pantelimon,M1
Republica,M1
Costin Georgian,M1
Titan,M1
Nicolae Grigorescu 1,M1
Dristor 1,M1
Mihai Bravu,M1
Timpuri Noi,M1
Piata Unirii 1,M1
Izvor,M1
Eroilor,M1
Grozaversti,M1
Petrache Poenaru,M1
Crangasi,M1
Basarab,M1
Gara de Nord 1,M1
Piata Victoriei 1,M1
Stefan cel Mare,M1
Obor,M1
Iancului,M1
Piata Muncii,M1
Dristor 2,M1
Pipera,M2
Aurel Vlaicu,M2
Aviatorilor,M2
Piata Victoriei 2,M2
Piata Romana,M2
Universitate,M2
Piata Unirii 2,M2
Tineretului,M2
Eroii Revolutiei,M2
Constantin Brancoveanu,M2
Piata Sudului,M2
Aparatorii Patriei,M2
Dimitrie Leonida,M2
Berceni,M2
Tudor Arghezi,M2
Anghel Saligny,M3
Nicolae Teclu,M3
1 Decembrie 1918,M3
Nicolae Grigorescu 2,M3
Dristor 1,M3
Mihai Bravu,M3
Timpuri Noi,M3
Piata Unirii 1,M3
Izvor,M3
Eroilor,M3
Politehnica,M3
Lujerului,M3
Gorjului,M3
Pacii,M3
Preciziei,M3
Gara de Nord 2,M4
Basarab 2,M4
Grivita,M4
1 Mai,M4
Jiului,M4
Parc Bazilescu,M4
Laminorului,M4
Straulesti,M4
Raul Doamnei,M5
Constantin Brancusi,M5
Valea Ialomitei,M5
Romancierilor,M5
Parc Drumul Taberei,M5
Tudor Vladimirescu,M5
Favorit,M5
Orizont,M5
Academia Militara,M5
Eroilor 2,M5
